"Libellé";"Taux de chômage localisé par région - Île-de-France";"Codes";"Taux de chômage localisé par région - Centre-Val de Loire";"Codes";"Taux de chômage localisé par région - Pays de la Loire";"Codes";"Taux de chômage localisé par région - Bretagne";"Codes";"Taux de chômage localisé par région - Provence-Alpes-Côte d'Azur";"Codes";"Taux de chômage localisé par région - Corse";"Codes";"Taux de chômage localisé par région - Bourgogne-Franche-Comté";"Codes";"Taux de chômage localisé par région - Hauts-de-France";"Codes";"Taux de chômage localisé par région - Grand Est";"Codes";"Taux de chômage localisé par région - Nouvelle-Aquitaine";"Codes";"Taux de chômage localisé par région - Occitanie";"Codes";"Taux de chômage localisé par région - Auvergne-Rhône-Alpes";"Codes";"Taux de chômage localisé par région - France métropolitaine";"Codes";"Taux de chômage localisé par département - Alpes-de-Haute-Provence";"Codes"
"2003-T4";"8.4";"A";"7.4";"A";"7.1";"A";"7.1";"A";"10.0";"A";"9.1";"A";"7.5";"A";"10.3";"A";"7.8";"A";"8.0";"A";"9.8";"A";"7.4";"A";"8.4";"A";"8.7";"A"
"2003-T3";"8.0";"A";"7.0";"A";"6.8";"A";"6.8";"A";"9.8";"A";"8.9";"A";"7.1";"A";"9.8";"A";"7.4";"A";"7.6";"A";"9.5";"A";"7.1";"A";"8.0";"A";"8.5";"A"
"2003-T2";"8.0";"A";"7.0";"A";"6.9";"A";"6.9";"A";"10.0";"A";"8.9";"A";"7.1";"A";"10.0";"A";"7.5";"A";"7.7";"A";"9.6";"A";"7.2";"A";"8.1";"A";"8.8";"A"
"2003-T1";"7.8";"A";"6.7";"A";"6.7";"A";"6.7";"A";"9.9";"A";"9.1";"A";"6.9";"A";"9.9";"A";"7.2";"A";"7.6";"A";"9.7";"A";"7.0";"A";"8.0";"A";"8.8";"A"
"2002-T4";"7.4";"A";"6.5";"A";"6.5";"A";"6.5";"A";"9.6";"A";"9.0";"A";"6.6";"A";"9.6";"A";"6.8";"A";"7.3";"A";"9.4";"A";"6.6";"A";"7.6";"A";"8.6";"A"
"2002-T3";"7.2";"A";"6.3";"A";"6.4";"A";"6.4";"A";"9.7";"A";"9.1";"A";"6.5";"A";"9.6";"A";"6.7";"A";"7.2";"A";"9.4";"A";"6.5";"A";"7.5";"A";"8.6";"A"
"2002-T2";"7.0";"A";"6.3";"A";"6.4";"A";"6.4";"A";"9.8";"A";"9.2";"A";"6.4";"A";"9.7";"A";"6.6";"A";"7.2";"A";"9.4";"A";"6.4";"A";"7.5";"A";"8.7";"A"
"2002-T1";"6.7";"A";"6.2";"A";"6.4";"A";"6.4";"A";"10.0";"A";"9.6";"A";"6.4";"A";"9.8";"A";"6.5";"A";"7.2";"A";"9.5";"A";"6.4";"A";"7.5";"A";"8.8";"A"
"2001-T4";"6.6";"A";"6.1";"A";"6.5";"A";"6.4";"A";"10.2";"A";"10.1";"A";"6.3";"A";"9.8";"A";"6.4";"A";"7.3";"A";"9.5";"A";"6.4";"A";"7.5";"A";"8.9";"A"
"2001-T3";"6.4";"A";"6.0";"A";"6.4";"A";"6.2";"A";"10.3";"A";"10.2";"A";"6.0";"A";"9.8";"A";"6.2";"A";"7.3";"A";"9.6";"A";"6.3";"A";"7.4";"A";"8.9";"A"
"2001-T2";"6.4";"A";"5.9";"A";"6.3";"A";"6.1";"A";"10.5";"A";"10.5";"A";"5.9";"A";"9.8";"A";"6.1";"A";"7.4";"A";"9.7";"A";"6.2";"A";"7.3";"A";"9.0";"A"
"2001-T1";"6.4";"A";"6.1";"A";"6.2";"A";"6.0";"A";"10.7";"A";"10.8";"A";"5.9";"A";"10.1";"A";"6.3";"A";"7.4";"A";"9.8";"A";"6.3";"A";"7.4";"A";"9.0";"A"
"2000-T4";"6.7";"A";"6.3";"A";"6.4";"A";"6.3";"A";"11.0";"A";"10.9";"A";"6.2";"A";"10.3";"A";"6.4";"A";"7.6";"A";"10.1";"A";"6.5";"A";"7.7";"A";"9.1";"A"
"2000-T3";"7.0";"A";"6.5";"A";"6.7";"A";"6.6";"A";"11.3";"A";"11.1";"A";"6.6";"A";"10.6";"A";"6.5";"A";"7.9";"A";"10.4";"A";"6.9";"A";"8.0";"A";"9.4";"A"
"2000-T2";"7.3";"A";"6.8";"A";"7.0";"A";"6.9";"A";"11.7";"A";"11.4";"A";"6.9";"A";"10.9";"A";"6.8";"A";"8.2";"A";"10.7";"A";"7.3";"A";"8.3";"A";"9.7";"A"
"2000-T1";"7.8";"A";"7.2";"A";"7.3";"A";"7.2";"A";"12.2";"A";"11.8";"A";"7.1";"A";"11.4";"A";"7.1";"A";"8.5";"A";"11.1";"A";"7.8";"A";"8.7";"A";"10.0";"A"
"1999-T4";"8.1";"A";"7.5";"A";"7.7";"A";"7.5";"A";"12.7";"A";"12.3";"A";"7.6";"A";"11.9";"A";"7.5";"A";"8.9";"A";"11.5";"A";"8.2";"A";"9.1";"A";"10.2";"A"
"1999-T3";"8.5";"A";"8.0";"A";"8.1";"A";"7.9";"A";"13.2";"A";"12.6";"A";"8.0";"A";"12.4";"A";"7.9";"A";"9.3";"A";"11.8";"A";"8.6";"A";"9.5";"A";"10.4";"A"
"1999-T2";"8.7";"A";"8.4";"A";"8.5";"A";"8.4";"A";"13.5";"A";"12.8";"A";"8.3";"A";"12.8";"A";"8.1";"A";"9.6";"A";"12.0";"A";"8.9";"A";"9.8";"A";"10.6";"A"
"1999-T1";"8.8";"A";"8.4";"A";"8.7";"A";"8.5";"A";"13.5";"A";"13.0";"A";"8.4";"A";"12.8";"A";"8.2";"A";"9.7";"A";"12.0";"A";"8.9";"A";"9.9";"A";"10.7";"A"
"1998-T4";"8.8";"A";"8.4";"A";"8.7";"A";"8.3";"A";"13.4";"A";"13.0";"A";"8.4";"A";"12.7";"A";"8.2";"A";"9.6";"A";"12.0";"A";"8.8";"A";"9.8";"A";"10.6";"A"
"1998-T3";"8.9";"A";"8.4";"A";"8.7";"A";"8.3";"A";"13.3";"A";"12.9";"A";"8.3";"A";"12.6";"A";"8.1";"A";"9.6";"A";"11.9";"A";"8.8";"A";"9.8";"A";"10.5";"A"
"1998-T2";"9.0";"A";"8.5";"A";"8.8";"A";"8.5";"A";"13.4";"A";"13.0";"A";"8.4";"A";"12.7";"A";"8.2";"A";"9.6";"A";"11.9";"A";"8.9";"A";"9.9";"A";"10.5";"A"
"1998-T1";"9.0";"A";"8.6";"A";"9.0";"A";"8.6";"A";"13.5";"A";"13.2";"A";"8.6";"A";"12.9";"A";"8.4";"A";"9.7";"A";"11.9";"A";"9.0";"A";"10.0";"A";"10.5";"A"
"1997-T4";"9.2";"A";"8.8";"A";"9.2";"A";"8.7";"A";"13.7";"A";"13.7";"A";"8.8";"A";"13.1";"A";"8.6";"A";"9.9";"A";"12.0";"A";"9.2";"A";"10.2";"A";"10.5";"A"
"1997-T3";"9.3";"A";"9.0";"A";"9.4";"A";"8.8";"A";"13.9";"A";"14.1";"A";"9.0";"A";"13.2";"A";"8.8";"A";"9.9";"A";"12.1";"A";"9.4";"A";"10.3";"A";"10.6";"A"
"1997-T2";"9.3";"A";"9.2";"A";"9.5";"A";"8.8";"A";"13.8";"A";"13.8";"A";"9.1";"A";"13.3";"A";"8.9";"A";"10.0";"A";"12.0";"A";"9.5";"A";"10.4";"A";"10.4";"A"
"1997-T1";"9.3";"A";"9.3";"A";"9.5";"A";"8.8";"A";"13.6";"A";"13.5";"A";"9.0";"A";"13.2";"A";"8.8";"A";"10.0";"A";"11.9";"A";"9.7";"A";"10.3";"A";"10.2";"A"
"1996-T4";"9.1";"A";"9.2";"A";"9.5";"A";"8.7";"A";"13.4";"A";"13.5";"A";"8.9";"A";"13.1";"A";"8.7";"A";"9.9";"A";"11.8";"A";"9.7";"A";"10.2";"A";"10.0";"A"
"1996-T3";"9.1";"A";"9.1";"A";"9.4";"A";"8.8";"A";"13.4";"A";"13.7";"A";"8.8";"A";"13.0";"A";"8.7";"A";"9.9";"A";"11.7";"A";"9.7";"A";"10.2";"A";"10.0";"A"
"1996-T2";"9.1";"A";"9.0";"A";"9.5";"A";"8.9";"A";"13.4";"A";"13.4";"A";"8.8";"A";"12.9";"A";"8.6";"A";"9.9";"A";"11.8";"A";"9.7";"A";"10.2";"A";"9.8";"A"
"1996-T1";"9.0";"A";"8.7";"A";"9.3";"A";"8.6";"A";"13.1";"A";"12.7";"A";"8.6";"A";"12.6";"A";"8.3";"A";"9.7";"A";"11.5";"A";"9.5";"A";"9.9";"A";"9.6";"A"
"1995-T4";"8.7";"A";"8.3";"A";"8.9";"A";"8.2";"A";"12.7";"A";"12.1";"A";"8.3";"A";"12.1";"A";"8.1";"A";"9.4";"A";"11.1";"A";"9.1";"A";"9.6";"A";"9.3";"A"
"1995-T3";"8.6";"A";"8.2";"A";"8.9";"A";"8.2";"A";"12.6";"A";"11.7";"A";"8.2";"A";"12.0";"A";"8.0";"A";"9.3";"A";"10.9";"A";"9.0";"A";"9.5";"A";"9.0";"A"
"1995-T2";"8.7";"A";"8.4";"A";"9.2";"A";"8.4";"A";"12.8";"A";"11.8";"A";"8.4";"A";"12.2";"A";"8.1";"A";"9.5";"A";"11.0";"A";"9.2";"A";"9.7";"A";"9.1";"A"
"1995-T1";"8.8";"A";"8.7";"A";"9.4";"A";"8.6";"A";"13.0";"A";"11.9";"A";"8.6";"A";"12.4";"A";"8.3";"A";"9.6";"A";"11.2";"A";"9.5";"A";"9.9";"A";"9.5";"A"
"1994-T4";"9.0";"A";"9.0";"A";"9.6";"A";"8.7";"A";"13.1";"A";"12.0";"A";"8.8";"A";"12.7";"A";"8.4";"A";"9.8";"A";"11.3";"A";"9.7";"A";"10.0";"A";"9.6";"A"
"1994-T3";"9.1";"A";"9.2";"A";"9.9";"A";"8.8";"A";"13.3";"A";"12.1";"A";"9.1";"A";"13.0";"A";"8.7";"A";"10.0";"A";"11.5";"A";"10.0";"A";"10.3";"A";"9.7";"A"
"1994-T2";"9.3";"A";"9.4";"A";"10.1";"A";"9.0";"A";"13.4";"A";"12.2";"A";"9.3";"A";"13.1";"A";"8.9";"A";"10.1";"A";"11.6";"A";"10.3";"A";"10.4";"A";"9.8";"A"
"1994-T1";"9.3";"A";"9.3";"A";"10.0";"A";"8.9";"A";"13.2";"A";"12.1";"A";"9.3";"A";"13.0";"A";"8.8";"A";"10.1";"A";"11.5";"A";"10.2";"A";"10.3";"A";"9.6";"A"
"1993-T4";"9.1";"A";"9.1";"A";"9.8";"A";"8.7";"A";"12.9";"A";"12.0";"A";"9.0";"A";"12.6";"A";"8.6";"A";"9.8";"A";"11.2";"A";"10.0";"A";"10.1";"A";"9.5";"A"
